id,item_name,current_stock,reorder_level,last_updated
1,Rice,500,100,2024-11-01
2,Wheat Flour,300,50,2024-11-02
3,Milk,200,30,2024-11-03
4,Eggs,400,100,2024-11-04
5,Sugar,150,40,2024-11-05
6,Salt,100,20,2024-11-06
7,Cooking Oil,80,20,2024-11-07
8,Lentils,250,50,2024-11-08
9,Onions,180,40,2024-11-09
10,Tomatoes,150,30,2024-11-10
11,Potatoes,220,50,2024-11-11
12,Carrots,120,20,2024-11-12
13,Apples,100,20,2024-11-13
14,Oranges,80,15,2024-11-14
15,Bananas,90,20,2024-11-15
16,Green Peas,110,30,2024-11-16
17,Spinach,70,10,2024-11-17
18,Cucumbers,60,15,2024-11-18
19,Yogurt,50,10,2024-11-19
20,Butter,40,10,2024-11-20
21,Cheese,60,15,2024-11-21
22,Chicken,200,50,2024-11-22
23,Fish,100,30,2024-11-23
24,Tofu,70,20,2024-11-24
25,Bread,200,50,2024-11-25
26,Cereal,150,40,2024-11-26
27,Pasta,180,60,2024-11-27
28,Rice Noodles,90,20,2024-11-28
29,Corn,100,30,2024-11-29
30,Peanut Butter,50,10,2024-11-30
31,Jam,40,10,2024-12-01
32,Honey,30,10,2024-12-02
33,Tea,100,20,2024-12-03
34,Coffee,80,15,2024-12-04
35,Green Tea,60,10,2024-12-05
36,Juice,120,30,2024-12-06
37,Lemon,90,20,2024-12-07
38,Garlic,50,10,2024-12-08
39,Ginger,60,15,2024-12-09
40,Chili Powder,40,10,2024-12-10
41,Turmeric Powder,50,10,2024-12-11
42,Coriander Powder,60,15,2024-12-12
43,Black Pepper,40,10,2024-12-13
44,Mustard Seeds,30,10,2024-12-14
45,Green Beans,80,20,2024-12-15
46,Broccoli,60,10,2024-12-16
47,Cauliflower,70,15,2024-12-17
48,Bell Peppers,90,20,2024-12-18
49,Pineapple,50,10,2024-12-19
50,Coconut,40,10,2024-12-20
51,Mushrooms,60,15,2024-12-21
52,Spinach,120,30,2024-12-22
53,Cabbage,70,20,2024-12-23
54,Zucchini,60,10,2024-12-24
55,Pears,90,20,2024-12-25
56,Plums,50,10,2024-12-26
57,Peaches,80,15,2024-12-27
58,Avocados,40,10,2024-12-28
59,Mangoes,60,15,2024-12-29
60,Grapes,150,40,2024-12-30
61,Watermelon,200,50,2024-12-31
62,Papaya,80,20,2025-01-01
63,Strawberries,100,25,2025-01-02
64,Blueberries,50,10,2025-01-03
65,Blackberries,60,15,2025-01-04
66,Raspberries,70,20,2025-01-05
67,Cherries,90,25,2025-01-06
68,Tomato Sauce,100,30,2025-01-07
69,Mustard Sauce,50,10,2025-01-08
70,Ketchup,120,30,2025-01-09
71,Vinegar,60,15,2025-01-10
72,Olive Oil,80,20,2025-01-11
73,Mayonnaise,40,10,2025-01-12
74,Soy Sauce,60,15,2025-01-13
75,Hot Sauce,50,10,2025-01-14
76,Sriracha,90,20,2025-01-15
77,Sweet Chili Sauce,70,15,2025-01-16
78,Pesto,40,10,2025-01-17
79,Barbecue Sauce,80,20,2025-01-18
80,Tahini,50,10,2025-01-19
81,Coconut Milk,150,30,2025-01-20
82,Tinned Beans,200,50,2025-01-21
83,Tinned Tomatoes,100,20,2025-01-22
84,Canned Tuna,80,20,2025-01-23
85,Canned Corn,90,25,2025-01-24
86,Canned Mushrooms,60,15,2025-01-25
87,Rice Noodles,70,15,2025-01-26
88,Spaghetti,100,20,2025-01-27
89,Macaroni,120,30,2025-01-28
90,Lasagna Sheets,80,20,2025-01-29
91,Bread Crumbs,90,25,2025-01-30
92,Tortillas,100,25,2025-01-31
93,Naan,60,15,2025-02-01
94,Pizza Dough,80,20,2025-02-02
95,Pita Bread,120,30,2025-02-03
96,Couscous,70,15,2025-02-04
97,Quinoa,50,10,2025-02-05
98,Barley,60,15,2025-02-06
99,Chia Seeds,80,20,2025-02-07
100,Flax Seeds,100,25,2025-02-08
101,Oats,150,30,2025-02-09
102,Rice Cakes,90,20,2025-02-10
