id,item_name,quantity,date_purchased,cost,supplier
1,rice,100,2024-01-01,200.00,Supplier A
2,milk,50,2024-01-01,100.00,Supplier B
3,Bread,120,2024-10-01,150.00,Supplier C
4,Eggs,200,2024-10-02,100.00,Supplier A
5,Butter,80,2024-10-03,160.00,Supplier D
6,Tomatoes,150,2024-10-04,75.00,Supplier E
7,Apples,100,2024-10-05,200.00,Supplier F
8,Potatoes,200,2024-10-06,120.00,Supplier G
9,Onions,180,2024-10-07,90.00,Supplier H
10,Carrots,130,2024-10-08,65.00,Supplier I
11,Spinach,60,2024-10-09,45.00,Supplier J
12,Cucumber,110,2024-10-10,55.00,Supplier K
13,Chicken,150,2024-10-11,300.00,Supplier L
14,Beef,100,2024-10-12,250.00,Supplier M
15,Lamb,80,2024-10-13,400.00,Supplier N
16,Fish,120,2024-10-14,180.00,Supplier O
17,Salt,500,2024-10-15,25.00,Supplier P
18,Sugar,300,2024-10-16,100.00,Supplier Q
19,Tea,200,2024-10-17,60.00,Supplier R
20,Coffee,150,2024-10-18,120.00,Supplier S
21,Oil,250,2024-10-19,200.00,Supplier T
22,Flour,100,2024-10-20,80.00,Supplier U
23,Rice,150,2024-10-21,220.00,Supplier A
24,Milk,80,2024-10-22,130.00,Supplier B
25,Bread,100,2024-10-23,160.00,Supplier C
26,Eggs,150,2024-10-24,120.00,Supplier A
27,Butter,90,2024-10-25,170.00,Supplier D
28,Tomatoes,140,2024-10-26,85.00,Supplier E
29,Apples,90,2024-10-27,180.00,Supplier F
30,Potatoes,170,2024-10-28,110.00,Supplier G
31,Onions,160,2024-10-29,95.00,Supplier H
32,Carrots,120,2024-10-30,60.00,Supplier I
33,Spinach,50,2024-10-31,40.00,Supplier J
34,Cucumber,100,2024-11-01,50.00,Supplier K
35,Chicken,140,2024-11-02,280.00,Supplier L
36,Beef,90,2024-11-03,240.00,Supplier M
37,Lamb,70,2024-11-04,390.00,Supplier N
38,Fish,100,2024-11-05,170.00,Supplier O
39,Salt,450,2024-11-06,30.00,Supplier P
40,Sugar,270,2024-11-07,90.00,Supplier Q
41,Tea,180,2024-11-08,55.00,Supplier R
42,Coffee,130,2024-11-09,110.00,Supplier S
43,Oil,240,2024-11-10,190.00,Supplier T
44,Flour,90,2024-11-11,75.00,Supplier U
45,Rice,140,2024-11-12,210.00,Supplier A
46,Milk,70,2024-11-13,120.00,Supplier B
47,Bread,110,2024-11-14,150.00,Supplier C
48,Eggs,180,2024-11-15,110.00,Supplier A
49,Butter,100,2024-11-16,180.00,Supplier D
50,Tomatoes,130,2024-11-17,70.00,Supplier E
51,Apples,110,2024-11-18,190.00,Supplier F
52,Potatoes,160,2024-11-19,100.00,Supplier G
53,Onions,140,2024-11-20,80.00,Supplier H
54,Carrots,140,2024-11-21,65.00,Supplier I
55,Spinach,60,2024-11-22,50.00,Supplier J
56,Cucumber,130,2024-11-23,45.00,Supplier K
57,Chicken,160,2024-11-24,310.00,Supplier L
58,Beef,110,2024-11-25,230.00,Supplier M
59,Lamb,85,2024-11-26,420.00,Supplier N
60,Fish,130,2024-11-27,190.00,Supplier O
61,Salt,480,2024-11-28,35.00,Supplier P
62,Sugar,290,2024-11-29,95.00,Supplier Q
63,Tea,220,2024-11-30,65.00,Supplier R
64,Coffee,140,2024-12-01,115.00,Supplier S
65,Oil,260,2024-12-02,210.00,Supplier T
66,Flour,110,2024-12-03,85.00,Supplier U
67,Rice,160,2024-12-04,230.00,Supplier A
68,Milk,90,2024-12-05,140.00,Supplier B
69,Bread,120,2024-12-06,170.00,Supplier C
70,Eggs,200,2024-12-07,130.00,Supplier A
71,Butter,110,2024-12-08,190.00,Supplier D
72,Cheese,90,2024-12-09,150.00,Supplier V
73,Coconut,120,2024-12-10,80.00,Supplier W
74,Yogurt,200,2024-12-11,100.00,Supplier X
75,Spinach,150,2024-12-12,60.00,Supplier Y
76,Garlic,100,2024-12-13,50.00,Supplier Z
77,Ginger,80,2024-12-14,40.00,Supplier A
78,Lemon,110,2024-12-15,30.00,Supplier B
79,Paprika,50,2024-12-16,70.00,Supplier C
80,Chili Powder,150,2024-12-17,60.00,Supplier D
81,Tamarind,200,2024-12-18,90.00,Supplier E
82,Coriander,180,2024-12-19,35.00,Supplier F
83,Mint,120,2024-12-20,25.00,Supplier G
84,Green Peas,100,2024-12-21,80.00,Supplier H
85,Pineapple,70,2024-12-22,100.00,Supplier I
86,Grapes,150,2024-12-23,120.00,Supplier J
87,Watermelon,200,2024-12-24,150.00,Supplier K
88,Bananas,180,2024-12-25,60.00,Supplier L
89,Papaya,110,2024-12-26,85.00,Supplier M
90,Oranges,130,2024-12-27,90.00,Supplier N
91,Honey,70,2024-12-28,200.00,Supplier O
92,Cereal,150,2024-12-29,180.00,Supplier P
93,Olives,100,2024-12-30,120.00,Supplier Q
94,Chickpeas,200,2024-12-31,110.00,Supplier R
95,Lentils,250,2025-01-01,90.00,Supplier S
96,Oats,120,2025-01-02,80.00,Supplier T
97,Pasta,150,2025-01-03,170.00,Supplier U
98,Tomato Sauce,100,2025-01-04,130.00,Supplier V
99,Mayonnaise,80,2025-01-05,50.00,Supplier W
100,Mustard,90,2025-01-06,40.00,Supplier X
